Messort_Code;Messort_Name;Messort_Typ;Latitude;Longitude;Latitude_WGS84;Longitude_WGS84;X_LV95;Y_LV95;Messintervall;Gemeinde;Strasse_Nr;PLZ
206;Kresi10_Riedhof;Schulhaus;47 24 29.3;8 29 13.1;47.40813889;8.486972222;2679125;1251342;Einmalige Messung;Stadt Zürich;NA;NA
207;Kresi11_Kantonsschule Oerlikon;Schulhaus;47 24 27.5;8 32 07.5;47.40763889;8.535416667;2682782;1251336;Einmalige Messung;Stadt Zürich;NA;NA
208;Kresi12_Stettbach;Schulhaus;47 24 04.7;8 34 51.7;47.40130556;8.581027778;2686234;1250681;Einmalige Messung;Stadt Zürich;NA;NA
209;Kresi1_ETH_Polyterrasse;Schulhaus;47 22 33.7;8 32 47.3;47.37602778;8.546472222;2683666;1247834;Einmalige Messung;Stadt Zürich;NA;NA
210;Kresi2_Enge;Schulhaus;47 21 53.1;8 31 36.9;47.36475;8.526916667;2682206;1246559;Einmalige Messung;Stadt Zürich;NA;NA
211;Kresi2_Freudenberg;Schulhaus;47 21 53.7;8 31 44.3;47.36491667;8.528972222;2682361;1246580;Einmalige Messung;Stadt Zürich;NA;NA
212;Kresi3_Bachtobel;Schulhaus;47 21 31.9;8 30 41.3;47.35886111;8.511472222;2681049;1245889;Einmalige Messung;Stadt Zürich;NA;NA
213;Kresi3_Rebhügel;Schulhaus;47 21 56.6;8 30 59.9;47.36572222;8.516638889;2681428;1246657;Einmalige Messung;Stadt Zürich;NA;NA
214;Kresi3_Sportanlage_Sihlhölzli;Schulhaus;47 22 08.3;8 31 32.9;47.36897222;8.525805556;2682116;1247028;Einmalige Messung;Stadt Zürich;NA;NA
215;Kresi7_Kantonsschule Hottingen;Schulhaus;47 22 04.9;8 33 10.3;47.36802778;8.552861111;2684161;1246951;Einmalige Messung;Stadt Zürich;NA;NA
216;Kinderhort_In-der-Ey2(N);Schulhaus;47 22 26.7;8 29 13.7;47.37408333;8.487138889;2679188;1247556;Einmalige Messung;Stadt Zürich;NA;NA
217;Kinderhort_In-der-Ey2(S);Schulhaus;47 22 26.0;8 29 14.5;47.37388889;8.487361111;2679205;1247535;Einmalige Messung;Stadt Zürich;NA;NA
218;Schule_In-der-Ey(+Mobilfunk);Schulhaus;47 22 24.9;8 29 13.6;47.37358333;8.487111111;2679187;1247500;Einmalige Messung;Stadt Zürich;NA;NA
219;Schule_In-der-Ey(+Rundfunk);Schulhaus;47 22 25.0;8 29 17.4;47.37361111;8.488166667;2679266;1247505;Einmalige Messung;Stadt Zürich;NA;NA
220;Kreis9_Kappeli;Schulhaus;47 23 14.0;8 29 31.4;47.38722222;8.492055556;2679540;1249022;Einmalige Messung;Stadt Zürich;NA;NA
